DATE,AAA,BAA,DGS30,MORTGAGE30US,aaa_baa_spread,mortgage_treasury_spread
1989-07-31,8.93,9.87,8.078999999999999,9.8825,0.9399999999999995,1.8035000000000014
1989-08-31,8.96,9.88,8.12217391304348,9.985,0.9199999999999999,1.8628260869565203
1989-09-30,9.01,9.91,8.1545,10.126000000000001,0.9000000000000004,1.9715000000000007
1989-10-31,8.92,9.81,7.9990476190476185,9.9475,0.8900000000000006,1.9484523809523813
1989-11-30,8.89,9.81,7.902380952380952,9.7675,0.9199999999999999,1.8651190476190482
1989-12-31,8.86,9.82,7.8965000000000005,9.744,0.9600000000000009,1.8474999999999993
1990-01-31,8.99,9.94,8.258571428571429,9.895,0.9499999999999993,1.6364285714285707
1990-02-28,9.22,10.14,8.503684210526316,10.1975,0.9199999999999999,1.6938157894736836
1990-03-31,9.37,10.21,8.56318181818182,10.268,0.8400000000000016,1.7048181818181813
1990-04-30,9.46,10.3,8.756,10.370000000000001,0.8399999999999999,1.6140000000000008
1990-05-31,9.47,10.41,8.731363636363637,10.4775,0.9399999999999995,1.7461363636363618
1990-06-30,9.26,10.22,8.457619047619048,10.164,0.9600000000000009,1.706380952380952
1990-07-31,9.24,10.2,8.498095238095239,10.035,0.9599999999999991,1.5369047619047613
1990-08-31,9.41,10.41,8.863478260869565,10.1,1.0,1.2365217391304348
1990-09-30,9.56,10.64,9.028947368421052,10.175,1.08,1.1460526315789483
1990-10-31,9.53,10.74,8.857727272727272,10.1775,1.2100000000000009,1.3197727272727278
1990-11-30,9.3,10.62,8.5405,10.014,1.3199999999999985,1.4734999999999996
1990-12-31,9.05,10.43,8.237,9.6725,1.379999999999999,1.4354999999999993
1991-01-31,9.04,10.45,8.26952380952381,9.6375,1.4100000000000001,1.36797619047619
1991-02-28,8.83,10.07,8.034210526315789,9.365,1.2400000000000002,1.3307894736842112
1991-03-31,8.93,10.09,8.288,9.5,1.1600000000000001,1.2119999999999997
1991-04-30,8.86,9.94,8.209545454545456,9.4925,1.08,1.282954545454544
1991-05-31,8.86,9.86,8.267272727272728,9.472,1.0,1.204727272727272
1991-06-30,9.01,9.96,8.472,9.615,0.9500000000000011,1.1430000000000007
1991-07-31,9.0,9.89,8.452272727272726,9.575,0.8900000000000006,1.122727272727273
1991-08-31,8.75,9.65,8.143636363636363,9.244,0.9000000000000004,1.100363636363637
1991-09-30,8.61,9.51,7.948,9.0075,0.9000000000000004,1.0594999999999999
1991-10-31,8.55,9.49,7.930454545454546,8.855,0.9399999999999995,0.9245454545454548
1991-11-30,8.48,9.45,7.92157894736842,8.712,0.9699999999999989,0.7904210526315794
1991-12-31,8.31,9.26,7.701904761904762,8.497499999999999,0.9499999999999993,0.7955952380952365
1992-01-31,8.2,9.13,7.581904761904762,8.431999999999999,0.9300000000000015,0.8500952380952365
1992-02-29,8.29,9.23,7.854736842105264,8.7625,0.9400000000000013,0.9077631578947356
1992-03-31,8.35,9.25,7.969545454545455,8.935,0.9000000000000004,0.9654545454545458
1992-04-30,8.33,9.21,7.962380952380952,8.8525,0.8800000000000008,0.8901190476190468
1992-05-31,8.28,9.13,7.891,8.672,0.8500000000000014,0.7810000000000006
1992-06-30,8.22,9.05,7.841818181818183,8.51,0.8300000000000001,0.6681818181818171
1992-07-31,8.07,8.84,7.598181818181818,8.128,0.7699999999999996,0.5298181818181824
1992-08-31,7.95,8.65,7.39047619047619,7.975,0.7000000000000002,0.5845238095238097
1992-09-30,7.92,8.62,7.3409523809523805,7.922499999999999,0.6999999999999993,0.581547619047619
1992-10-31,7.99,8.84,7.531904761904761,8.088,0.8499999999999996,0.5560952380952378
1992-11-30,8.1,8.96,7.606842105263158,8.305,0.8600000000000012,0.6981578947368421
1992-12-31,7.98,8.81,7.4363636363636365,8.206,0.8300000000000001,0.769636363636363
1993-01-31,7.91,8.67,7.341578947368421,7.9925,0.7599999999999998,0.6509210526315785
1993-02-28,7.71,8.39,7.0894736842105255,7.6825,0.6800000000000006,0.5930263157894746
1993-03-31,7.58,8.15,6.821739130434783,7.495,0.5700000000000003,0.6732608695652171
1993-04-30,7.46,8.14,6.854285714285714,7.4719999999999995,0.6800000000000006,0.6177142857142854
1993-05-31,7.43,8.21,6.919,7.465,0.7800000000000011,0.5460000000000003
1993-06-30,7.33,8.07,6.807272727272727,7.4175,0.7400000000000002,0.6102272727272737
1993-07-31,7.17,7.93,6.6257142857142854,7.206,0.7599999999999998,0.580285714285715
1993-08-31,6.85,7.6,6.323181818181817,7.1125,0.75,0.7893181818181825
1993-09-30,6.66,7.34,5.997142857142857,6.915,0.6799999999999997,0.9178571428571427
1993-10-31,6.67,7.31,5.939,6.8340000000000005,0.6399999999999997,0.8950000000000005
1993-11-30,6.93,7.66,6.21,7.155,0.7300000000000004,0.9450000000000003
1993-12-31,6.93,7.69,6.251818181818181,7.172,0.7600000000000007,0.9201818181818187
1994-01-31,6.92,7.65,6.2909999999999995,7.0600000000000005,0.7300000000000004,0.769000000000001
1994-02-28,7.08,7.76,6.490526315789474,7.1525,0.6799999999999997,0.6619736842105262
1994-03-31,7.48,8.13,6.906521739130435,7.675,0.6500000000000004,0.768478260869565
1994-04-30,7.88,8.52,7.2689473684210535,8.315999999999999,0.6399999999999997,1.0470526315789455
1994-05-31,7.99,8.62,7.4123809523809525,8.5975,0.629999999999999,1.1851190476190476
1994-06-30,7.97,8.65,7.395,8.3975,0.6800000000000006,1.0025000000000013
1994-07-31,8.11,8.8,7.578999999999999,8.614,0.6900000000000013,1.035000000000002
1994-08-31,8.07,8.74,7.486086956521739,8.5125,0.6699999999999999,1.02641304347826
1994-09-30,8.34,8.98,7.712380952380952,8.64,0.6400000000000006,0.9276190476190482
1994-10-31,8.57,9.2,7.935,8.925,0.629999999999999,0.9900000000000011
1994-11-30,8.68,9.32,8.0815,9.17,0.6400000000000006,1.0884999999999998
